Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Germany,2008,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2009,82217837,
Germany,2008,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2009,685495,
Germany,2008,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2009,3469044,
Germany,2008,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2009,676142,
Germany,2008,Total,Both Sexes,1 - 4,Estimate - de jure,"Final figure, complete",2009,2783549,
Germany,2008,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2009,689181,
Germany,2008,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2009,708342,
Germany,2008,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2009,709884,
Germany,2008,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2009,723274,
Germany,2008,Total,Both Sexes,5 - 9,Estimate - de jure,"Final figure, complete",2009,3802280,
Germany,2008,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2009,739386,
Germany,2008,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2009,772569,
Germany,2008,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2009,775254,
Germany,2008,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2009,791797,
Germany,2008,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2009,817125,
Germany,2008,Total,Both Sexes,10 - 14,Estimate - de jure,"Final figure, complete",2009,4010372,
Germany,2008,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2009,803094,
Germany,2008,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2009,779122,
Germany,2008,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2009,789421,
Germany,2008,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2009,821610,
Germany,2008,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2009,843241,
Germany,2008,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2009,4642964,
Germany,2008,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2009,878112,
Germany,2008,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2009,967034,
Germany,2008,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2009,960142,
Germany,2008,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2009,994435,
Germany,2008,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2009,982931,
Germany,2008,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2009,4855500,
Germany,2008,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2009,976593,
Germany,2008,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2009,955596,
Germany,2008,Total,Both Sexes,23,Estimate - de jure,"Final figure, complete",2009,962301,
Germany,2008,Total,Both Sexes,24,Estimate - de jure,"Final figure, complete",2009,978079,
Germany,2008,Total,Both Sexes,25,Estimate - de jure,"Final figure, complete",2009,1009292,
Germany,2008,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2009,4976730,
Germany,2008,Total,Both Sexes,26,Estimate - de jure,"Final figure, complete",2009,1009423,
Germany,2008,Total,Both Sexes,27,Estimate - de jure,"Final figure, complete",2009,1020405,
Germany,2008,Total,Both Sexes,28,Estimate - de jure,"Final figure, complete",2009,974244,
Germany,2008,Total,Both Sexes,29,Estimate - de jure,"Final figure, complete",2009,963366,
Germany,2008,Total,Both Sexes,30,Estimate - de jure,"Final figure, complete",2009,955863,
Germany,2008,Total,Both Sexes,30 - 34,Estimate - de jure,"Final figure, complete",2009,4703414,
Germany,2008,Total,Both Sexes,31,Estimate - de jure,"Final figure, complete",2009,943930,
Germany,2008,Total,Both Sexes,32,Estimate - de jure,"Final figure, complete",2009,920945,
Germany,2008,Total,Both Sexes,33,Estimate - de jure,"Final figure, complete",2009,935674,
Germany,2008,Total,Both Sexes,34,Estimate - de jure,"Final figure, complete",2009,947002,
Germany,2008,Total,Both Sexes,35,Estimate - de jure,"Final figure, complete",2009,1040387,
Germany,2008,Total,Both Sexes,35 - 39,Estimate - de jure,"Final figure, complete",2009,6039933,
Germany,2008,Total,Both Sexes,36,Estimate - de jure,"Final figure, complete",2009,1149399,
Germany,2008,Total,Both Sexes,37,Estimate - de jure,"Final figure, complete",2009,1203073,
